id,priority,cluster,title,primary_keyword,secondary_keywords,search_intent,target_space_types,doripe_angle,cta_strength,internal_links
B2B096,P0,Doripe 리포트/케이스,저장되는 공간과 스쳐 지나가는 공간은 무엇이 다른가,Doripe 공간 저장 리포트,공간 저장|로컬 발견|방문 전환,informational,식당|카페|로컬 공간,Doripe 관찰 데이터를 바탕으로 저장 가치의 패턴을 설명,medium,리뷰/저장/방문 전환|신규 손님 유입|공간 브랜딩/분위기
B2B100,P0,Doripe 리포트/케이스,운영자가 직접 말하지 않아도 분위기가 전해지는 공간 사례,Doripe 공간 사례,공간 분위기|로컬 사례|공간 브랜딩,informational,서점|카페|공방,Doripe 공간 카드 사례로 분위기 전달 방식을 보여줌,medium,공간 브랜딩/분위기|사진/콘텐츠 소재|인스타/숏폼 운영
B2B021,P1,신규 손님 유입,비 오는 날 손님이 줄어드는 공간이 준비할 온라인 안내,우천시 매장 운영,날씨 마케팅|방문 장벽|매장 안내,how-to,식당|카페|바,날씨에도 저장한 공간을 선택하게 하는 정보 보강,light,네이버 플레이스/지도|리뷰/저장/방문 전환|재방문/단골/커뮤니티
B2B022,P1,신규 손님 유입,단체 손님을 받고 싶은 작은 공간의 사전 정보 정리법,단체 손님 유치,소규모 모임 공간|예약 문의|매장 운영,how-to,식당|바|스튜디오,모임 목적별 저장 포인트를 공간 카드에 반영,light,리뷰/저장/방문 전환|네이버 플레이스/지도|공간 브랜딩/분위기
B2B023,P1,신규 손님 유입,혼자 오는 손님을 늘리고 싶은 공간이 보여줘야 할 장면,혼밥 혼술 마케팅,1인 손님 유입|혼자 가기 좋은 곳|로컬 공간,informational,식당|바|서점,혼자 방문해도 괜찮다는 저장 단서를 제안,light,사진/콘텐츠 소재|공간 브랜딩/분위기|인스타/숏폼 운영
B2B024,P1,신규 손님 유입,외지인이 찾기 어려운 매장이 방문 전 불안을 줄이는 법,찾기 어려운 매장,방문 전 안내|길찾기 정보|지도 마케팅,problem solving,공방|갤러리|팝업,방문 전 확인 정보를 공간 카드 관점으로 정리,light,네이버 플레이스/지도|리뷰/저장/방문 전환|사진/콘텐츠 소재
B2B025,P1,신규 손님 유입,신메뉴를 냈는데 신규 손님이 늘지 않을 때 점검할 홍보 흐름,신메뉴 홍보,신상품 마케팅|매장 콘텐츠|신규 고객,problem solving,식당|카페|샵,신메뉴보다 방문 이유가 먼저 저장되게 구성,light,인스타/숏폼 운영|사진/콘텐츠 소재|리뷰/저장/방문 전환
B2B026,P1,신규 손님 유입,예약제를 시작했는데 문의가 적을 때 설명해야 할 것,예약제 매장 홍보,예약 문의 늘리기|공간 운영|방문 전환,problem solving,스튜디오|공방|전시공간,예약 전 망설임을 줄이는 공간 정보 설계,light,네이버 플레이스/지도|리뷰/저장/방문 전환|공간 브랜딩/분위기
B2B027,P1,신규 손님 유입,동네 행사에 참여해도 손님이 남지 않을 때 연결할 채널,동네 행사 마케팅,로컬 이벤트|방문객 전환|오프라인 홍보,problem solving,서점|샵|팝업,행사 발견을 저장 가능한 공간 정보로 이어주기,light,인스타/숏폼 운영|재방문/단골/커뮤니티|리뷰/저장/방문 전환
B2B028,P1,신규 손님 유입,매장 앞 입간판과 온라인 소개가 다를 때 생기는 손실,매장 소개 일관성,입간판 문구|온라인 홍보|브랜드 메시지,informational,식당|카페|공방,오프라인 발견과 온라인 저장 정보의 메시지 맞춤,light,공간 브랜딩/분위기|네이버 플레이스/지도|사진/콘텐츠 소재
B2B029,P1,신규 손님 유입,인근 경쟁 매장이 늘었을 때 신규 손님에게 보여줄 기준,상권 경쟁 마케팅,가게 차별화|신규 손님 확보|로컬 브랜딩,problem solving,식당|카페|바,비교 상황에서 저장될 만한 선택 기준 제안,light,공간 브랜딩/분위기|사진/콘텐츠 소재|Doripe 리포트/케이스
B2B030,P1,신규 손님 유입,방문 목적이 모호한 공간이 검색 키워드를 정리하는 법,매장 키워드 정리,공간 포지셔닝|검색어 전략|로컬 SEO,how-to,갤러리|전시공간|로컬 공간,저장할 때 떠올릴 상황별 키워드를 구조화,light,네이버 플레이스/지도|공간 브랜딩/분위기|사진/콘텐츠 소재
B2B031,P1,인스타/숏폼 운영,운영자가 얼굴을 드러내기 부담스러울 때 가능한 숏폼 소재,얼굴 없는 숏폼,매장 릴스 아이디어|공간 영상|SNS 운영,how-to,카페|공방|서점,사람보다 공간 경험이 저장되게 만드는 장면 구성,light,사진/콘텐츠 소재|공간 브랜딩/분위기|신규 손님 유입
B2B032,P1,인스타/숏폼 운영,릴스 조회수는 높은데 실제 손님이 늘지 않을 때,릴스 방문 전환,숏폼 마케팅|매장 유입|SNS 성과,problem solving,식당|바|팝업,조회수보다 저장과 방문 의도 지표를 함께 보기,light,리뷰/저장/방문 전환|신규 손님 유입|Doripe 리포트/케이스
B2B033,P1,인스타/숏폼 운영,매일 올리기 힘든 공간을 위한 주간 콘텐츠 루틴,매장 콘텐츠 루틴,인스타 운영 계획|SNS 일정|콘텐츠 캘린더,how-to,샵|스튜디오|갤러리,저장 가치가 반복 노출되게 주제를 묶는 방법,light,사진/콘텐츠 소재|공간 브랜딩/분위기|재방문/단골/커뮤니티
B2B034,P1,인스타/숏폼 운영,감성 계정처럼 보이지만 정보가 부족한 공간 계정의 보완법,공간 인스타 정보,감성 콘텐츠|방문 정보|SNS 개선,problem solving,카페|갤러리|전시공간,분위기와 방문 정보를 함께 저장하게 만드는 균형,light,사진/콘텐츠 소재|네이버 플레이스/지도|리뷰/저장/방문 전환
B2B035,P1,인스타/숏폼 운영,해시태그를 많이 써도 노출이 늘지 않을 때 바꿀 기준,로컬 해시태그,인스타 노출|지역 해시태그|매장 SNS,problem solving,식당|샵|공방,키워드보다 저장될 상황을 먼저 정의하는 접근,light,신규 손님 유입|사진/콘텐츠 소재|공간 브랜딩/분위기
B2B036,P1,인스타/숏폼 운영,스토리는 많이 올리는데 신규 손님에게 남는 정보가 없을 때,인스타 스토리 운영,매장 스토리|SNS 정보 전달|방문 유도,problem solving,카페|바|서점,하루짜리 노출을 저장 가능한 핵심 정보로 연결,light,리뷰/저장/방문 전환|사진/콘텐츠 소재|재방문/단골/커뮤니티
B2B037,P1,인스타/숏폼 운영,비주얼이 약한 업종이 인스타에서 보여줄 수 있는 강점,비주얼 약한 매장 SNS,로컬 콘텐츠|공간 강점|인스타 소재,informational,식당|공방|로컬 공간,사진 외에도 저장되는 운영 철학과 사용 맥락 제안,light,공간 브랜딩/분위기|사진/콘텐츠 소재|신규 손님 유입
B2B038,P1,인스타/숏폼 운영,행사 공지를 올려도 신청이 적은 공간의 게시물 구조,인스타 행사 홍보,이벤트 신청 유도|공간 프로그램|SNS 공지,how-to,서점|갤러리|스튜디오,참여 전 필요한 정보와 저장 이유를 한 게시물에 정리,light,리뷰/저장/방문 전환|사진/콘텐츠 소재|재방문/단골/커뮤니티
B2B039,P1,인스타/숏폼 운영,손님이 찍은 사진을 콘텐츠로 활용할 때 놓치기 쉬운 기준,UGC 활용,고객 사진 활용|매장 후기 콘텐츠|SNS 운영,how-to,식당|카페|샵,고객 시선의 저장 포인트를 공간 소개에 반영,light,리뷰/저장/방문 전환|사진/콘텐츠 소재|재방문/단골/커뮤니티
B2B040,P1,인스타/숏폼 운영,브랜드 톤을 지키려다 게시물이 딱딱해질 때 푸는 법,매장 SNS 톤앤매너,브랜드 콘텐츠|인스타 글쓰기|로컬 브랜딩,problem solving,바|서점|갤러리,공간 카드처럼 짧고 명확한 톤 기준 세우기,light,공간 브랜딩/분위기|사진/콘텐츠 소재|신규 손님 유입
B2B041,P1,재방문/단골/커뮤니티,예약 마감 공지만 반복하는 계정이 놓치는 재방문 정보,예약제 단골 관리,매장 계정 운영|예약제 공간|재방문 콘텐츠,problem solving,스튜디오|공방|팝업,마감 정보보다 다음 저장과 방문 계기를 남기는 관점,light,신규 손님 유입|리뷰/저장/방문 전환|인스타/숏폼 운영
B2B042,P1,네이버 플레이스/지도,상호명 검색만 되는 매장이 키워드 검색에 잡히는 방법,네이버 키워드 검색,플레이스 키워드|매장 검색 노출|로컬 SEO,how-to,식당|카페|샵,방문 상황별 저장 키워드를 플레이스 정보와 맞추기,light,신규 손님 유입|공간 브랜딩/분위기|사진/콘텐츠 소재
B2B043,P1,네이버 플레이스/지도,지도 리뷰 답글을 쓰기 어려운 운영자를 위한 기본 원칙,네이버 리뷰 답글,리뷰 관리|고객 응대|플레이스 운영,how-to,식당|바|공방,리뷰에서 다음 방문과 저장 이유를 자연스럽게 강화,light,리뷰/저장/방문 전환|재방문/단골/커뮤니티|공간 브랜딩/분위기
B2B044,P1,네이버 플레이스/지도,대표 메뉴가 여러 개인 매장이 플레이스에서 선택을 돕는 법,대표 메뉴 설정,플레이스 메뉴 관리|매장 정보|방문 결정,how-to,식당|카페|바,고객이 저장할 대표 경험을 먼저 보여주는 구성,light,사진/콘텐츠 소재|리뷰/저장/방문 전환|신규 손님 유입
B2B045,P1,네이버 플레이스/지도,카테고리가 애매한 공간이 지도에서 오해를 줄이는 방법,플레이스 카테고리,지도 카테고리|공간 분류|검색 노출,problem solving,서점|갤러리|로컬 공간,공간 카드의 사용 상황을 기준으로 분류를 보완,light,공간 브랜딩/분위기|신규 손님 유입|사진/콘텐츠 소재
B2B046,P1,네이버 플레이스/지도,임시 휴무와 조기 마감이 잦은 공간의 안내 운영법,임시 휴무 안내,플레이스 공지|영업 정보|고객 신뢰,how-to,팝업|공방|전시공간,저장한 고객이 헛걸음하지 않게 최신성 강조,light,리뷰/저장/방문 전환|재방문/단골/커뮤니티|신규 손님 유입
B2B047,P1,네이버 플레이스/지도,지도 사진이 오래되어 현재 분위기와 다를 때 생기는 문제,플레이스 사진 업데이트,매장 사진 관리|지도 최적화|공간 분위기,problem solving,카페|샵|갤러리,현재 저장할 만한 장면으로 공간 인식을 갱신,light,사진/콘텐츠 소재|공간 브랜딩/분위기|신규 손님 유입
B2B048,P1,네이버 플레이스/지도,찾아오는 길 설명이 길어질수록 방문이 줄어드는 이유,찾아오는 길 안내,지도 길찾기|방문 전 불안|매장 안내,informational,식당|스튜디오|공방,공간 카드에서 핵심 동선을 짧게 보완하는 관점,light,리뷰/저장/방문 전환|신규 손님 유입|사진/콘텐츠 소재
B2B049,P1,네이버 플레이스/지도,예약 링크와 문의 채널이 흩어진 공간이 정리할 우선순위,매장 예약 링크,플레이스 예약|문의 동선|방문 전환,how-to,스튜디오|식당|전시공간,저장 이후 행동이 끊기지 않게 정보 동선을 정리,light,리뷰/저장/방문 전환|신규 손님 유입|Doripe 리포트/케이스
B2B050,P1,네이버 플레이스/지도,신규 매장이 플레이스 등록 후 한 달 안에 해야 할 일,네이버 플레이스 등록,신규 매장 지도|로컬 검색 등록|매장 정보,how-to,카페|샵|공방,초기 저장과 검색 신뢰를 만드는 기본 정보 구축,light,신규 손님 유입|사진/콘텐츠 소재|리뷰/저장/방문 전환
B2B051,P1,네이버 플레이스/지도,주차 정보가 애매한 공간이 방문 포기를 줄이는 법,매장 주차 안내,플레이스 주차 정보|방문 장벽|지도 정보,problem solving,식당|갤러리|전시공간,저장 후 실제 방문에서 생기는 불확실성 낮추기,light,리뷰/저장/방문 전환|신규 손님 유입|네이버 플레이스/지도
B2B052,P1,네이버 플레이스/지도,반려동물 동반 여부처럼 민감한 정보를 명확히 쓰는 법,매장 이용 안내,반려동물 동반 매장|플레이스 정보|고객 문의,how-to,카페|샵|로컬 공간,저장 전 확인하는 조건 정보를 명확히 분리,light,리뷰/저장/방문 전환|재방문/단골/커뮤니티|신규 손님 유입
B2B053,P1,사진/콘텐츠 소재,어두운 매장이 사진에서 답답해 보일 때 살릴 수 있는 장면,어두운 매장 사진,공간 촬영 팁|분위기 사진|콘텐츠 소재,how-to,바|갤러리|식당,어둠을 단점보다 분위기 저장 포인트로 전환,light,인스타/숏폼 운영|공간 브랜딩/분위기|리뷰/저장/방문 전환
B2B054,P1,사진/콘텐츠 소재,작은 공간이 넓어 보이게 찍으려다 잃는 매력,작은 매장 사진,공간 사진 팁|로컬 공간 촬영|브랜딩 사진,informational,카페|공방|서점,규모보다 머물고 싶은 장면을 저장 가치로 강조,light,공간 브랜딩/분위기|인스타/숏폼 운영|신규 손님 유입
B2B055,P1,사진/콘텐츠 소재,신제품 사진이 매번 비슷해질 때 바꿀 배경과 맥락,상품 사진 콘텐츠,신제품 촬영|매장 콘텐츠|SNS 소재,how-to,샵|카페|공방,상품보다 공간 안에서 쓰이는 순간을 남기기,light,인스타/숏폼 운영|신규 손님 유입|공간 브랜딩/분위기
B2B056,P1,사진/콘텐츠 소재,손님 없는 시간대에도 공간이 살아 보이게 찍는 방법,매장 빈공간 사진,공간 촬영|콘텐츠 제작|운영자 사진,how-to,식당|스튜디오|갤러리,비어 있는 공간도 저장 가능한 사용 장면으로 구성,light,인스타/숏폼 운영|공간 브랜딩/분위기|신규 손님 유입
B2B057,P1,사진/콘텐츠 소재,계절 장식이 과해 보이지 않게 콘텐츠에 담는 법,계절 매장 사진,시즌 콘텐츠|공간 연출|SNS 사진,how-to,카페|샵|전시공간,계절감이 공간 정체성을 덮지 않게 저장 포인트 조절,light,공간 브랜딩/분위기|인스타/숏폼 운영|재방문/단골/커뮤니티
B2B058,P1,사진/콘텐츠 소재,메뉴판과 가격표를 콘텐츠로 올릴 때 촌스러워 보이지 않는 기준,메뉴판 사진,가격표 안내|매장 정보 콘텐츠|SNS 운영,how-to,식당|바|카페,실용 정보를 저장 가치와 함께 보여주는 방식,light,네이버 플레이스/지도|리뷰/저장/방문 전환|인스타/숏폼 운영
B2B059,P1,사진/콘텐츠 소재,공방 수업 사진이 매번 결과물만 보일 때 담아야 할 과정,공방 콘텐츠,수업 사진|체험 공간 홍보|과정 콘텐츠,how-to,공방|스튜디오|팝업,완성품보다 참여 장면이 저장과 예약의 단서가 됨,light,인스타/숏폼 운영|리뷰/저장/방문 전환|재방문/단골/커뮤니티
B2B060,P1,사진/콘텐츠 소재,전시공간이 작품 사진만 올릴 때 놓치는 방문 정보,전시공간 콘텐츠,갤러리 홍보|전시 사진|방문 정보,problem solving,갤러리|전시공간|서점,작품과 함께 방문 경험을 저장할 수 있게 구성,light,인스타/숏폼 운영|공간 브랜딩/분위기|네이버 플레이스/지도
B2B013,P2,인스타/숏폼 운영,숏폼을 찍을 시간이 부족한 운영자를 위한 반복 포맷,매장 숏폼 아이디어,릴스 소재|짧은 영상 만들기|콘텐츠 루틴,how-to,식당|카페|스튜디오,공간 카드에 남길 수 있는 핵심 장면을 영상으로 확장,light,사진/콘텐츠 소재|재방문/단골/커뮤니티|신규 손님 유입
B2B015,P2,인스타/숏폼 운영,메뉴 소개가 지루해 보일 때 방문 욕구를 만드는 글쓰기,매장 인스타 글쓰기,메뉴 소개 문구|방문 유도 문구|SNS 캡션,how-to,식당|카페|바,공간을 저장할 이유가 드러나는 짧은 문장 구조,light,사진/콘텐츠 소재|리뷰/저장/방문 전환|신규 손님 유입
B2B018,P2,네이버 플레이스/지도,영업시간과 휴무 정보 오류가 방문 손실로 이어지는 과정,플레이스 영업시간,매장 정보 관리|지도 정보 오류|방문 손실,informational,서점|식당|전시공간,저장한 공간을 실제 방문할 때 필요한 신뢰 정보,light,리뷰/저장/방문 전환|재방문/단골/커뮤니티|신규 손님 유입
B2B019,P2,네이버 플레이스/지도,사진 순서만 바꿔도 달라지는 지도 검색 첫인상,네이버 플레이스 사진,지도 사진 관리|매장 대표 사진|검색 첫인상,how-to,카페|갤러리|공방,대표 장면과 저장 가치가 먼저 보이게 배열,light,사진/콘텐츠 소재|공간 브랜딩/분위기|신규 손님 유입
B2B020,P2,사진/콘텐츠 소재,사진은 많은데 홍보에 쓸 만한 장면이 없을 때 고르는 기준,매장 사진 소재,공간 사진 촬영|콘텐츠 고르기|홍보 사진,problem solving,식당|카페|스튜디오,공간 카드에 남길 장면을 기준으로 사진 선별,light,인스타/숏폼 운영|공간 브랜딩/분위기|리뷰/저장/방문 전환
B2B061,P2,사진/콘텐츠 소재,서점이 책 표지만 올릴 때 공간성이 사라지는 문제,서점 인스타 콘텐츠,책방 홍보|로컬 서점|공간 사진,problem solving,서점|카페|로컬 공간,책과 머무는 장면을 함께 남겨 저장 이유 강화,light,인스타/숏폼 운영|공간 브랜딩/분위기|재방문/단골/커뮤니티
B2B062,P2,사진/콘텐츠 소재,바의 분위기를 과장하지 않고 매력적으로 보여주는 촬영 기준,바 사진 촬영,바 홍보 콘텐츠|분위기 사진|로컬 바,how-to,바|식당|스튜디오,조명과 좌석감을 저장 가능한 방문 단서로 정리,light,인스타/숏폼 운영|공간 브랜딩/분위기|신규 손님 유입
B2B063,P2,사진/콘텐츠 소재,샵이 제품보다 공간 취향을 보여줘야 할 때,샵 콘텐츠,편집샵 홍보|공간 취향|상품 진열 사진,informational,샵|갤러리|팝업,취향 큐레이션을 공간 카드의 핵심 가치로 표현,light,공간 브랜딩/분위기|인스타/숏폼 운영|신규 손님 유입
B2B064,P2,사진/콘텐츠 소재,촬영 장비가 없어도 공간 콘텐츠 품질을 높이는 체크리스트,공간 콘텐츠 체크리스트,매장 사진 팁|스마트폰 촬영|콘텐츠 품질,how-to,식당|카페|공방,저장에 필요한 장면 선명도와 정보성을 우선 점검,light,인스타/숏폼 운영|네이버 플레이스/지도|공간 브랜딩/분위기
B2B065,P2,재방문/단골/커뮤니티,이벤트 현장을 다음 방문 자산으로 남기는 기록법,이벤트 후 재방문,이벤트 사진 기록|팝업 콘텐츠|재방문 콘텐츠,how-to,팝업|전시공간|서점,일회성 현장을 저장과 다음 방문의 증거로 축적,light,인스타/숏폼 운영|사진/콘텐츠 소재|Doripe 리포트/케이스
B2B066,P2,사진/콘텐츠 소재,스튜디오 포트폴리오가 전문가에게만 보일 때 고객용으로 바꾸는 법,스튜디오 포트폴리오,촬영 스튜디오 홍보|고객 사례|공간 콘텐츠,how-to,스튜디오|샵|로컬 공간,전문 결과물보다 고객이 저장할 이용 상황을 강조,light,리뷰/저장/방문 전환|공간 브랜딩/분위기|신규 손님 유입
B2B067,P2,사진/콘텐츠 소재,로컬 공간이 매달 촬영해야 할 기본 사진 목록,매장 사진 목록,콘텐츠 촬영 리스트|공간 사진|SNS 운영,how-to,식당|카페|로컬 공간,공간 카드 업데이트에 필요한 기본 장면을 체계화,light,네이버 플레이스/지도|인스타/숏폼 운영|공간 브랜딩/분위기
B2B069,P2,리뷰/저장/방문 전환,리뷰 요청이 부담스러운 운영자가 자연스럽게 후기를 모으는 법,리뷰 요청 방법,매장 후기 모으기|고객 리뷰|로컬 리뷰,how-to,식당|샵|공방,방문 경험의 저장 포인트를 리뷰 질문으로 연결,light,재방문/단골/커뮤니티|네이버 플레이스/지도|인스타/숏폼 운영
B2B070,P2,리뷰/저장/방문 전환,방문 전 질문이 반복될 때 콘텐츠로 줄일 수 있는 문의,방문 전 문의 줄이기,매장 FAQ|고객 안내|방문 정보,how-to,스튜디오|전시공간|바,자주 묻는 정보를 저장 가능한 카드형 안내로 정리,light,네이버 플레이스/지도|사진/콘텐츠 소재|신규 손님 유입
B2B071,P2,리뷰/저장/방문 전환,좋은 후기가 있는데 홍보에 못 쓰는 공간의 정리법,후기 콘텐츠 활용,리뷰 마케팅|고객 후기|매장 콘텐츠,how-to,카페|서점|샵,후기 속 저장 이유를 짧은 공간 소개로 재구성,light,인스타/숏폼 운영|사진/콘텐츠 소재|공간 브랜딩/분위기
B2B072,P2,리뷰/저장/방문 전환,저장하고 잊힌 공간이 다시 떠오르게 만드는 리마인드 소재,저장 고객 리마인드,재방문 콘텐츠|방문 전환|로컬 마케팅,how-to,식당|바|팝업,저장한 이유를 다시 불러오는 계절과 상황 콘텐츠,light,인스타/숏폼 운영|재방문/단골/커뮤니티|사진/콘텐츠 소재
B2B073,P2,리뷰/저장/방문 전환,예약 전 이탈이 생기는 공간이 점검할 설명 요소,예약 이탈 줄이기,예약 전환|공간 예약|고객 안내,problem solving,스튜디오|공방|식당,저장 이후 예약까지 필요한 신뢰 정보를 보강,medium,네이버 플레이스/지도|신규 손님 유입|Doripe 리포트/케이스
B2B074,P2,리뷰/저장/방문 전환,처음 방문한 손님이 사진만 찍고 다시 오지 않을 때,첫 방문 재방문,사진 명소 매장|방문 경험|재방문 전략,problem solving,카페|갤러리|전시공간,사진 저장을 다음 방문 동기로 바꾸는 경험 설계,light,재방문/단골/커뮤니티|공간 브랜딩/분위기|사진/콘텐츠 소재
B2B075,P2,리뷰/저장/방문 전환,고객이 저장할 만한 정보와 바로 예약할 정보의 차이,저장 콘텐츠 예약 콘텐츠,방문 전환 콘텐츠|매장 정보|예약 유도,informational,식당|스튜디오|로컬 공간,공간 카드의 정보 깊이를 방문 단계별로 나누기,light,네이버 플레이스/지도|사진/콘텐츠 소재|신규 손님 유입
B2B076,P2,리뷰/저장/방문 전환,단골 리뷰만 쌓여 신규 고객이 거리감을 느낄 때,리뷰 신뢰도,신규 고객 리뷰|매장 후기|고객 관점,problem solving,바|서점|샵,다양한 방문 상황이 보이게 리뷰와 소개를 보완,light,신규 손님 유입|공간 브랜딩/분위기|재방문/단골/커뮤니티
B2B077,P2,리뷰/저장/방문 전환,방문 후 팔로우만 받고 관계가 끊기는 공간의 다음 행동,방문 후 고객 관리,팔로워 전환|재방문 유도|커뮤니티,problem solving,공방|카페|팝업,팔로우를 저장과 재방문 루틴으로 연결하는 관점,light,재방문/단골/커뮤니티|인스타/숏폼 운영|사진/콘텐츠 소재
